"provincia","crecimiento_total","contribucion_extractivo","peso_extractivo_pct"
"Neuquen",91.89471426266597,51.756758089038975,56.321800991840256
"San Juan",60.86566168667689,20.195845785492715,33.18101738457476
"Jujuy",66.1798763146217,11.907063971241804,17.991970723298365
"La Pampa",60.701817184276564,0.8152563348114923,1.3430509540374451
"San Luis",24.249769947274523,0.5088342075155958,2.0983052978314323
"Buenos Aires",41.82395493565678,0.1824931296219497,0.43633637685078464
"Misiones",39.4632227140622,0.17438520024457263,0.4418929531126022
"Santiago del Estero",80.28557662533981,0.14426550440601874,0.17969043814587926
"Cordoba",55.33898694619887,0.09531467301421155,0.17223783497677225
"Ciudad de Buenos Aires",36.33225308285315,0.09284855574525264,0.255554081750774
"Corrientes",55.70285094507139,0.056696184574664424,0.10178327251251927
"La Rioja",27.694325855697155,0.02727563561068302,0.09848817318321543
"Santa Fe",37.43205803965508,0.027210989037532024,0.07269434399974754
"Entre Rios",55.37953303932659,0.013169186630310203,0.023779880232934408
"Chaco",58.67380205094113,0.00731116671131425,0.012460700441683714
"Tucuman",50.1437495839054,-0.0647395353559338,-0.1291078866122792
"Formosa",35.35088660793093,-1.98276959970507,-5.608825661702747
"Rio Negro",44.781201844109184,-3.4238904894943816,-7.645820899165489
"Chubut",15.225171792781712,-5.729833085370801,-37.63394701455735
"Salta",52.3324958928483,-6.635109186775786,-12.678755472242884
"Mendoza",20.103158159823707,-6.771845149187396,-33.685479143873884
"Santa Cruz",7.215195286121445,-15.76166414951701,-218.45097082590192
"Tierra del Fuego",46.31075407985239,-17.478121834419923,-37.74095710962268
"Catamarca",-0.6654507549463395,-33.649738765956,5056.68353605962
