"provincia","Y2004","Y2024","cagr_2004_2024"
"Neuquen",13372.499426450646,25661.119564164113,3.312566536139805
"Santiago del Estero",5165.689413779488,9312.992946306485,2.990709302282535
"Jujuy",3654.7864904487597,6073.519669391252,2.572023117495559
"San Juan",4791.381687830709,7707.687856063137,2.4054729085314586
"La Pampa",3826.128184994525,6148.65752108598,2.4002552951644773
"Chaco",5596.916710129125,8880.840541586334,2.3352515428446408
"Corrientes",4777.10315769382,7438.085809116308,2.2385845499736767
"Entre Rios",10433.913892555713,16212.16668397849,2.2279591141020516
"Cordoba",32365.857410813114,50276.795018408324,2.2266251358987743
"Salta",7264.366344138982,11065.990562826968,2.126777373232236
"Tucuman",7416.993102372295,11136.151550281395,2.052902927048028
"Tierra del Fuego",3329.921293747206,4872.032955147114,1.9210319944549248
"Rio Negro",5843.689111092489,8460.563327073047,1.8674908288586423
"Buenos Aires",131865.7866368215,187017.27381535503,1.762432481967835
"Misiones",5385.670902209469,7511.030204994835,1.6770611152461035
"Santa Fe",34938.5999010332,48016.83689423082,1.6025019436352483
"Ciudad de Buenos Aires",85706.9389997919,116846.20098676287,1.56169271863702
"Formosa",2263.4084682685498,3063.5434293604712,1.5250133446945036
"La Rioja",2520.350514623308,3218.344598848827,1.22984689084773
"San Luis",4486.518603521241,5574.489043516815,1.0915323535385157
"Mendoza",16294.445001773267,19570.143051745235,0.9201114315956715
"Chubut",9546.840944226207,11000.36387876827,0.711106658476024
"Santa Cruz",7427.584790299611,7963.499537961982,0.34894640373812624
"Catamarca",3857.959216246119,3832.286397516087,-0.033378165768871426
